model	precision	tag	status	seconds	log
qwen3_8b	fp8	na_c4_350	ok	3591	/home/xdai/Lumen/examples/qwen3/results/lumen_qwen3_8b_na_c4_350_fp8.log
llama2_7b	fp8	na_hyb_c4_350	ok	2481	/home/xdai/Lumen/examples/llama2/results/lumen_llama2_7b_na_hyb_c4_350_fp8.log
llama31_8b	fp8	na_hyb_c4_350	ok	3026	/home/xdai/Lumen/examples/llama31/results/lumen_llama31_8b_na_hyb_c4_350_fp8.log
qwen3_8b	fp8	na_hyb_c4_350	ok	3324	/home/xdai/Lumen/examples/qwen3/results/lumen_qwen3_8b_na_hyb_c4_350_fp8.log
llama2_7b	bf16	na	ok	747	/home/xdai/Lumen/examples/llama2/results/lumen_llama2_7b_na_bf16.log
qwen3_8b	bf16	na	ok	1413	/home/xdai/Lumen/examples/qwen3/results/lumen_qwen3_8b_na_bf16.log
qwen3_8b	bf16	rerun0820	ok	1206	/home/xdai/Lumen/examples/qwen3/results/lumen_qwen3_8b_rerun0820_bf16.log
qwen3_8b	mxfp4	srp7tail0	ok	2641	/home/xdai/Lumen/examples/qwen3/results/lumen_qwen3_8b_srp7tail0_mxfp4.log
qwen3_8b	mxfp4	srp4tail0	ok	2660	/home/xdai/Lumen/examples/qwen3/results/lumen_qwen3_8b_srp4tail0_mxfp4.log
qwen3_8b	mxfp4	srp7rep2tail0	ok	2632	/home/xdai/Lumen/examples/qwen3/results/lumen_qwen3_8b_srp7rep2tail0_mxfp4.log
